,Report Date,Stock price,Y_boolean,(Dividends + Share Buyback) / FCF,Asset Turnover,Current Ratio,Debt Ratio,Gross Profit Margin,Inventory Turnover,MACD,Net Profit Margin,Quick Ratio,R&D / Gross Profit,R&D / Revenue,RSI_ratio,Return on Assets,Return on Equity,Share Buyback / FCF
89,2021-03-31,571.1699829,1,0.07322506753191296,1.0000000000000004,0.6690448807711649,0.004727569000913567,1.0,1.0,0.6363020726100885,0.0,0.6067488894459172,0.0,0.0,0.4787305899648618,0.08618744701455228,0.08684648293868635,0.07322506753191296
90,2021-04-01,579.9099731000001,1,0.07322506753191296,1.0000000000000004,0.6690448807711649,0.004727569000913567,1.0,1.0,0.5900375239749029,0.0,0.6067488894459172,0.0,0.0,0.5320203136615829,0.08618744701455228,0.08684648293868635,0.07322506753191296
91,2021-04-02,580.6324768,0,0.07322506753191296,1.0000000000000004,0.6690448807711649,0.004727569000913567,1.0,1.0,0.5806868605489233,0.0,0.6067488894459172,0.0,0.0,0.4950508867523522,0.08618744701455228,0.08684648293868635,0.07322506753191296
92,2021-04-03,581.3549805,0,0.07322506753191296,1.0000000000000004,0.6690448807711649,0.004727569000913567,1.0,1.0,0.5713361971041688,0.0,0.6067488894459172,0.0,0.0,0.4580814598431214,0.08618744701455228,0.08684648293868635,0.07322506753191296
93,2021-04-04,582.0774841,0,0.07322506753191296,1.0000000000000004,0.6690448807711649,0.004727569000913567,1.0,1.0,0.5619855336594143,0.0,0.6067488894459172,0.0,0.0,0.42111203293389055,0.08618744701455228,0.08684648293868635,0.07322506753191296
94,2021-04-05,582.7999877999999,0,0.07322506753191296,1.0000000000000004,0.6690448807711649,0.004727569000913567,1.0,1.0,0.5526348702334345,0.0,0.6067488894459172,0.0,0.0,0.38414260602465977,0.08618744701455228,0.08684648293868635,0.07322506753191296
95,2021-04-06,587.5499877999999,1,0.07322506753191296,1.0000000000000004,0.6690448807711649,0.004727569000913567,1.0,1.0,0.5146849292432898,0.0,0.6067488894459172,0.0,0.0,0.5610894430742861,0.08618744701455228,0.08684648293868635,0.07322506753191296
96,2021-04-07,576.6400146000001,-1,0.07322506753191296,1.0000000000000004,0.6690448807711649,0.004727569000913567,1.0,1.0,0.5392495984510677,0.0,0.6067488894459172,0.0,0.0,0.4887138297757682,0.08618744701455228,0.08684648293868635,0.07322506753191296
97,2021-04-08,592.2299805,1,0.07322506753191296,1.0000000000000004,0.6690448807711649,0.004727569000913567,1.0,1.0,0.4956054051826847,0.0,0.6067488894459172,0.0,0.0,0.5030043911203909,0.08618744701455228,0.08684648293868635,0.07322506753191296
98,2021-04-09,602.5700072999999,1,0.07322506753191296,1.0000000000000004,0.6690448807711649,0.004727569000913567,1.0,1.0,0.4345258933305678,0.0,0.6067488894459172,0.0,0.0,0.4923265949408525,0.08618744701455228,0.08684648293868635,0.07322506753191296
